EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MaritalStatus,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition,RiskScore,RiskPct,RiskSegment,RiskLevel
1606,50,Male,Research & Development,Healthcare Representative,4,Married,Yes,Travel_Frequently,11245,30,12,3,3,2,No,0.5834,58.3,At Watch,Medium (30–60%)
233,27,Male,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,3058,5,1,2,2,3,No,0.5822,58.2,At Watch,Medium (30–60%)
1043,39,Female,Research & Development,Manufacturing Director,3,Single,Yes,Travel_Frequently,10880,21,2,1,3,4,No,0.5818,58.2,At Watch,Medium (30–60%)
1883,29,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2062,3,1,1,3,4,No,0.5806,58.1,At Watch,Medium (30–60%)
1586,29,Male,Research & Development,Laboratory Technician,1,Single,Yes,Travel_Rarely,4723,10,1,1,3,2,No,0.5805,58.0,At Watch,Medium (30–60%)
2054,29,Female,Research & Development,Research Scientist,1,Single,No,Travel_Rarely,3785,5,0,1,1,4,No,0.579,57.9,At Watch,Medium (30–60%)
1251,31,Male,Research & Development,Healthcare Representative,2,Married,Yes,Travel_Rarely,6833,6,0,1,2,3,No,0.5778,57.8,At Watch,Medium (30–60%)
1766,38,Male,Research & Development,Healthcare Representative,2,Married,Yes,Travel_Rarely,5811,1,1,4,3,2,No,0.5774,57.7,At Watch,Medium (30–60%)
582,33,Male,Research & Development,Manager,3,Married,Yes,Travel_Rarely,13610,7,7,3,4,2,Yes,0.5768,57.7,At Watch,Medium (30–60%)
956,26,Male,Sales,Sales Executive,2,Single,No,Travel_Frequently,4294,7,0,1,3,3,No,0.5753,57.5,At Watch,Medium (30–60%)
934,34,Male,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Rarely,2008,1,1,2,3,2,No,0.575,57.5,At Watch,Medium (30–60%)
453,40,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,7457,4,0,4,2,2,No,0.5738,57.4,At Watch,Medium (30–60%)
201,19,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,1483,1,0,2,3,2,No,0.5734,57.3,At Watch,Medium (30–60%)
1950,34,Male,Sales,Sales Executive,3,Single,No,Travel_Rarely,9888,14,2,4,2,1,No,0.5705,57.1,At Watch,Medium (30–60%)
81,59,Female,Sales,Sales Executive,3,Single,No,Travel_Rarely,7637,21,7,1,2,1,No,0.5698,57.0,At Watch,Medium (30–60%)
1880,36,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,5673,10,1,3,3,2,No,0.569,56.9,At Watch,Medium (30–60%)
1275,26,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,2875,8,2,4,2,3,No,0.5686,56.9,At Watch,Medium (30–60%)
1399,25,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,6232,3,1,3,2,1,No,0.5682,56.8,At Watch,Medium (30–60%)
193,38,Female,Research & Development,Research Scientist,2,Single,Yes,Travel_Rarely,4317,3,2,3,3,4,No,0.5679,56.8,At Watch,Medium (30–60%)
1165,29,Female,Sales,Sales Executive,3,Married,No,Travel_Rarely,7336,11,3,1,1,4,Yes,0.5668,56.7,At Watch,Medium (30–60%)
1101,33,Female,Research & Development,Research Scientist,2,Single,No,Travel_Frequently,4508,13,3,3,3,1,Yes,0.5662,56.6,At Watch,Medium (30–60%)
1981,24,Male,Research & Development,Healthcare Representative,2,Single,No,Travel_Rarely,4617,4,1,3,2,2,No,0.5648,56.5,At Watch,Medium (30–60%)
1761,31,Male,Sales,Sales Executive,3,Married,No,Travel_Rarely,8161,1,0,3,3,1,Yes,0.5641,56.4,At Watch,Medium (30–60%)
1605,22,Female,Research & Development,Research Scientist,1,Married,Yes,Non-Travel,2814,4,1,3,2,2,No,0.5639,56.4,At Watch,Medium (30–60%)
1311,30,Female,Research & Development,Laboratory Technician,2,Married,No,Travel_Rarely,4627,9,6,4,3,1,No,0.5635,56.4,At Watch,Medium (30–60%)
744,44,Male,Research & Development,Laboratory Technician,1,Single,No,Non-Travel,3708,5,1,3,3,1,No,0.5635,56.3,At Watch,Medium (30–60%)
1622,28,Female,Research & Development,Manufacturing Director,2,Divorced,No,Travel_Rarely,4877,5,0,1,2,2,No,0.5618,56.2,At Watch,Medium (30–60%)
729,40,Male,Sales,Sales Executive,3,Married,Yes,Travel_Frequently,10475,18,1,1,3,4,No,0.5618,56.2,At Watch,Medium (30–60%)
1725,24,Male,Research & Development,Laboratory Technician,1,Divorced,No,Travel_Rarely,3907,6,1,1,4,2,No,0.5585,55.8,At Watch,Medium (30–60%)
2014,39,Male,Research & Development,Research Scientist,2,Single,No,Travel_Rarely,4108,7,1,4,3,1,No,0.5577,55.8,At Watch,Medium (30–60%)
1659,36,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2013,4,1,2,3,1,No,0.5575,55.8,At Watch,Medium (30–60%)
1154,28,Male,Research & Development,Research Scientist,1,Divorced,Yes,Travel_Frequently,2703,3,0,3,3,3,No,0.5567,55.7,At Watch,Medium (30–60%)
328,33,Female,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2707,9,1,1,4,1,Yes,0.5564,55.6,At Watch,Medium (30–60%)
216,34,Female,Sales,Sales Representative,1,Married,No,Travel_Frequently,2231,4,1,3,3,3,No,0.5559,55.6,At Watch,Medium (30–60%)
1220,33,Female,Sales,Sales Executive,2,Married,No,Travel_Frequently,4539,10,0,3,2,2,No,0.5559,55.6,At Watch,Medium (30–60%)
1395,33,Male,Sales,Sales Executive,2,Married,No,Travel_Frequently,9998,5,1,4,4,2,No,0.5546,55.5,At Watch,Medium (30–60%)
799,54,Female,Research & Development,Manufacturing Director,2,Divorced,Yes,Travel_Rarely,5485,5,1,1,3,4,No,0.5531,55.3,At Watch,Medium (30–60%)
1547,42,Male,Research & Development,Healthcare Representative,3,Married,Yes,Travel_Frequently,10124,20,13,4,1,4,No,0.5529,55.3,At Watch,Medium (30–60%)
1113,50,Male,Sales,Sales Executive,2,Single,Yes,Travel_Frequently,4728,0,0,3,3,4,Yes,0.5519,55.2,At Watch,Medium (30–60%)
463,29,Female,Sales,Sales Executive,2,Divorced,Yes,Travel_Rarely,8268,7,1,2,3,4,No,0.551,55.1,At Watch,Medium (30–60%)
1787,37,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,4189,5,0,2,3,2,No,0.5503,55.0,At Watch,Medium (30–60%)
1391,51,Male,Sales,Sales Executive,3,Married,No,Travel_Frequently,10596,4,3,2,3,2,No,0.5499,55.0,At Watch,Medium (30–60%)
916,28,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,4908,4,0,4,3,1,No,0.5498,55.0,At Watch,Medium (30–60%)
1865,29,Male,Human Resources,Human Resources,1,Married,No,Travel_Rarely,2804,1,0,2,3,4,No,0.5487,54.9,At Watch,Medium (30–60%)
893,38,Male,Sales,Sales Representative,1,Married,No,Travel_Rarely,2899,2,1,2,3,2,No,0.5487,54.9,At Watch,Medium (30–60%)
556,38,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Frequently,1702,1,0,4,3,4,No,0.5461,54.6,At Watch,Medium (30–60%)
1807,34,Male,Research & Development,Laboratory Technician,2,Married,No,Travel_Frequently,5346,7,0,1,2,4,Yes,0.545,54.5,At Watch,Medium (30–60%)
879,25,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4194,5,0,1,3,3,No,0.5446,54.5,At Watch,Medium (30–60%)
1202,29,Female,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,2168,5,1,4,2,2,No,0.5432,54.3,At Watch,Medium (30–60%)
246,31,Female,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,3929,4,0,4,3,3,No,0.5427,54.3,At Watch,Medium (30–60%)
974,29,Female,Sales,Sales Representative,1,Married,No,Travel_Frequently,2157,3,0,4,3,3,No,0.5425,54.2,At Watch,Medium (30–60%)
650,31,Male,Sales,Sales Executive,2,Divorced,No,Travel_Rarely,4233,3,1,1,1,2,Yes,0.5385,53.8,At Watch,Medium (30–60%)
833,30,Female,Research & Development,Manufacturing Director,2,Single,Yes,Travel_Rarely,6877,0,0,4,2,3,No,0.5382,53.8,At Watch,Medium (30–60%)
1908,36,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,5507,4,1,2,1,3,No,0.5355,53.6,At Watch,Medium (30–60%)
900,37,Female,Sales,Sales Representative,1,Married,No,Travel_Frequently,2973,5,0,4,3,3,No,0.5348,53.5,At Watch,Medium (30–60%)
1564,35,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2450,3,1,1,3,4,No,0.5337,53.4,At Watch,Medium (30–60%)
2045,36,Female,Sales,Sales Executive,2,Married,No,Travel_Rarely,6652,6,0,4,2,2,No,0.5336,53.4,At Watch,Medium (30–60%)
329,52,Male,Sales,Manager,5,Single,Yes,Non-Travel,19068,33,15,3,4,1,No,0.5327,53.3,At Watch,Medium (30–60%)
1827,47,Female,Research & Development,Manufacturing Director,3,Divorced,Yes,Travel_Rarely,10333,22,14,2,3,3,No,0.5326,53.3,At Watch,Medium (30–60%)
1818,26,Female,Human Resources,Human Resources,1,Married,Yes,Travel_Rarely,2148,5,1,2,3,4,Yes,0.5325,53.2,At Watch,Medium (30–60%)
1613,31,Male,Sales,Sales Executive,2,Single,No,Travel_Frequently,5332,5,0,1,3,4,No,0.5322,53.2,At Watch,Medium (30–60%)
645,25,Male,Sales,Sales Representative,1,Married,No,Travel_Rarely,2096,7,0,3,3,2,No,0.532,53.2,At Watch,Medium (30–60%)
214,58,Female,Research & Development,Research Scientist,1,Married,Yes,Travel_Rarely,3346,1,0,2,2,2,No,0.5311,53.1,At Watch,Medium (30–60%)
1881,31,Male,Research & Development,Laboratory Technician,2,Divorced,No,Travel_Rarely,4197,10,0,3,3,2,No,0.5303,53.0,At Watch,Medium (30–60%)
1542,42,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,4841,1,0,2,3,3,No,0.5298,53.0,At Watch,Medium (30–60%)
604,31,Male,Sales,Sales Executive,2,Single,Yes,Travel_Rarely,6582,6,0,4,4,2,No,0.5295,53.0,At Watch,Medium (30–60%)
311,37,Male,Sales,Sales Representative,1,Divorced,No,Travel_Frequently,2793,9,5,4,3,1,No,0.5294,52.9,At Watch,Medium (30–60%)
1082,28,Male,Research & Development,Healthcare Representative,3,Single,No,Non-Travel,8722,10,1,1,2,2,Yes,0.529,52.9,At Watch,Medium (30–60%)
359,32,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Frequently,2794,5,0,2,1,2,No,0.5285,52.9,At Watch,Medium (30–60%)
1409,52,Female,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2950,5,0,1,1,3,No,0.5275,52.7,At Watch,Medium (30–60%)
1587,35,Female,Research & Development,Healthcare Representative,2,Single,Yes,Travel_Rarely,6142,5,0,3,3,1,No,0.5268,52.7,At Watch,Medium (30–60%)
1927,28,Male,Sales,Sales Executive,2,Married,Yes,Travel_Frequently,6834,7,0,4,3,3,No,0.5259,52.6,At Watch,Medium (30–60%)
1301,28,Male,Research & Development,Research Scientist,1,Single,No,Travel_Rarely,2080,3,1,1,2,4,No,0.5249,52.5,At Watch,Medium (30–60%)
533,30,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,6577,5,4,3,3,2,No,0.5248,52.5,At Watch,Medium (30–60%)
1467,34,Female,Human Resources,Human Resources,1,Married,No,Travel_Rarely,2742,2,2,3,3,1,Yes,0.5246,52.5,At Watch,Medium (30–60%)
1784,31,Female,Sales,Sales Executive,2,Married,No,Travel_Rarely,5468,12,5,4,3,1,No,0.5239,52.4,At Watch,Medium (30–60%)
1479,30,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,5301,2,2,3,2,4,No,0.5221,52.2,At Watch,Medium (30–60%)
1875,28,Female,Sales,Sales Representative,1,Married,No,Travel_Rarely,2856,1,0,2,3,2,No,0.522,52.2,At Watch,Medium (30–60%)
1412,35,Male,Research & Development,Manufacturing Director,3,Single,No,Travel_Frequently,9362,2,2,4,3,3,No,0.5213,52.1,At Watch,Medium (30–60%)
1049,45,Male,Human Resources,Human Resources,1,Single,No,Travel_Rarely,2177,6,0,2,3,2,No,0.5213,52.1,At Watch,Medium (30–60%)
656,37,Male,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,9602,3,1,3,2,4,No,0.5205,52.1,At Watch,Medium (30–60%)
1826,35,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2705,5,0,3,4,2,No,0.5203,52.0,At Watch,Medium (30–60%)
1753,29,Male,Research & Development,Healthcare Representative,2,Single,Yes,Travel_Frequently,6294,3,0,3,4,4,No,0.5193,51.9,At Watch,Medium (30–60%)
1193,19,Male,Research & Development,Research Scientist,1,Single,No,Travel_Rarely,2552,1,0,1,3,3,No,0.5191,51.9,At Watch,Medium (30–60%)
772,32,Male,Research & Development,Laboratory Technician,2,Married,No,Travel_Frequently,5309,10,4,4,3,1,No,0.5185,51.9,At Watch,Medium (30–60%)
2046,45,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,4850,5,0,3,3,4,No,0.5185,51.9,At Watch,Medium (30–60%)
600,35,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,4717,11,6,3,3,2,No,0.5184,51.8,At Watch,Medium (30–60%)
701,20,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,1009,1,1,3,3,4,Yes,0.518,51.8,At Watch,Medium (30–60%)
347,42,Female,Research & Development,Research Scientist,2,Single,Yes,Travel_Rarely,6545,3,0,1,3,4,No,0.5177,51.8,At Watch,Medium (30–60%)
61,37,Male,Research & Development,Research Scientist,1,Married,No,Travel_Rarely,3022,1,0,2,3,2,No,0.5174,51.7,At Watch,Medium (30–60%)
666,34,Female,Sales,Sales Representative,1,Divorced,Yes,Travel_Rarely,2579,8,0,3,3,3,No,0.5163,51.6,At Watch,Medium (30–60%)
22,22,Male,Research & Development,Laboratory Technician,1,Divorced,Yes,Non-Travel,2935,1,0,4,2,4,No,0.5154,51.5,At Watch,Medium (30–60%)
1164,35,Male,Human Resources,Human Resources,1,Single,No,Travel_Rarely,4323,5,1,3,1,3,No,0.514,51.4,At Watch,Medium (30–60%)
444,39,Male,Research & Development,Manager,5,Married,No,Travel_Frequently,19272,21,13,4,3,3,No,0.5125,51.3,At Watch,Medium (30–60%)
1509,49,Female,Research & Development,Laboratory Technician,2,Married,No,Travel_Rarely,4789,3,1,1,3,3,No,0.5123,51.2,At Watch,Medium (30–60%)
1915,34,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,8103,4,0,4,2,4,No,0.5119,51.2,At Watch,Medium (30–60%)
416,31,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,6929,8,7,4,2,2,No,0.5115,51.1,At Watch,Medium (30–60%)
1952,26,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2867,7,7,1,2,3,No,0.5108,51.1,At Watch,Medium (30–60%)
2009,33,Female,Research & Development,Healthcare Representative,2,Married,Yes,Travel_Rarely,4878,9,8,4,3,2,No,0.5105,51.0,At Watch,Medium (30–60%)
1560,33,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,6392,2,2,1,1,1,No,0.5099,51.0,At Watch,Medium (30–60%)
2032,56,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2339,10,9,3,1,4,Yes,0.5091,50.9,At Watch,Medium (30–60%)
1554,35,Female,Sales,Sales Representative,1,Married,No,Travel_Rarely,2430,5,4,3,3,2,No,0.5089,50.9,At Watch,Medium (30–60%)
91,59,Female,Sales,Sales Executive,2,Single,No,Travel_Frequently,5473,4,1,3,2,1,No,0.5083,50.8,At Watch,Medium (30–60%)
473,48,Female,Sales,Manager,3,Married,No,Travel_Rarely,12504,0,0,3,1,1,No,0.5081,50.8,At Watch,Medium (30–60%)
1204,46,Female,Sales,Manager,4,Married,No,Travel_Rarely,17048,26,15,1,3,3,No,0.5069,50.7,At Watch,Medium (30–60%)
1537,31,Female,Research & Development,Research Scientist,1,Single,No,Travel_Frequently,4084,7,7,3,1,4,Yes,0.5066,50.7,At Watch,Medium (30–60%)
1373,56,Male,Research & Development,Manufacturing Director,4,Married,Yes,Travel_Rarely,13402,19,15,2,3,4,No,0.5065,50.7,At Watch,Medium (30–60%)
764,27,Female,Research & Development,Healthcare Representative,2,Single,No,Travel_Rarely,6811,7,0,1,1,4,No,0.5064,50.6,At Watch,Medium (30–60%)
351,42,Female,Research & Development,Laboratory Technician,1,Divorced,Yes,Travel_Rarely,2593,9,7,1,3,4,No,0.5053,50.5,At Watch,Medium (30–60%)
389,55,Male,Research & Development,Laboratory Technician,2,Married,Yes,Travel_Rarely,5415,10,0,4,3,2,No,0.505,50.5,At Watch,Medium (30–60%)
24,38,Male,Research & Development,Research Scientist,1,Single,Yes,Travel_Rarely,3944,3,1,4,3,4,No,0.5046,50.5,At Watch,Medium (30–60%)
731,41,Male,Human Resources,Manager,5,Divorced,No,Travel_Rarely,19141,21,12,4,2,2,No,0.5038,50.4,At Watch,Medium (30–60%)
1760,38,Female,Research & Development,Laboratory Technician,1,Married,No,Travel_Frequently,2468,6,0,2,2,3,No,0.5035,50.4,At Watch,Medium (30–60%)
1790,36,Male,Research & Development,Healthcare Representative,3,Married,Yes,Travel_Rarely,8321,12,5,1,3,4,No,0.5023,50.2,At Watch,Medium (30–60%)
1294,36,Female,Research & Development,Manufacturing Director,2,Single,Yes,Travel_Rarely,5410,16,5,2,3,3,No,0.5016,50.2,At Watch,Medium (30–60%)
1691,48,Female,Sales,Sales Representative,1,Married,Yes,Travel_Frequently,2655,9,7,3,3,4,Yes,0.5007,50.1,At Watch,Medium (30–60%)
1836,26,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,4684,5,1,4,3,3,No,0.4994,49.9,At Watch,Medium (30–60%)
613,31,Male,Sales,Manager,3,Divorced,No,Travel_Rarely,11557,5,0,4,2,3,No,0.4989,49.9,At Watch,Medium (30–60%)
1678,41,Male,Sales,Sales Executive,3,Single,Yes,Travel_Rarely,7082,2,0,3,3,4,No,0.4982,49.8,At Watch,Medium (30–60%)
686,26,Female,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2659,3,0,4,3,3,No,0.498,49.8,At Watch,Medium (30–60%)
451,43,Female,Research & Development,Healthcare Representative,3,Married,No,Travel_Rarely,9985,1,0,1,2,3,No,0.497,49.7,At Watch,Medium (30–60%)
747,30,Male,Sales,Sales Executive,2,Divorced,No,Travel_Rarely,5304,8,7,4,2,3,No,0.4965,49.7,At Watch,Medium (30–60%)
665,44,Female,Human Resources,Human Resources,2,Single,No,Travel_Rarely,5985,2,0,3,4,1,No,0.4959,49.6,At Watch,Medium (30–60%)
1098,44,Male,Human Resources,Human Resources,3,Married,No,Travel_Rarely,10482,20,3,1,3,2,Yes,0.4958,49.6,At Watch,Medium (30–60%)
445,39,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,5238,1,0,3,2,4,Yes,0.4948,49.5,At Watch,Medium (30–60%)
1242,42,Female,Research & Development,Research Director,3,Married,Yes,Travel_Frequently,13191,1,0,1,3,1,No,0.4935,49.4,At Watch,Medium (30–60%)
1258,48,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,2559,1,0,2,2,4,No,0.491,49.1,At Watch,Medium (30–60%)
1997,38,Male,Research & Development,Manufacturing Director,2,Married,No,Travel_Frequently,5321,8,7,3,3,1,No,0.4904,49.0,At Watch,Medium (30–60%)
1212,40,Male,Sales,Sales Executive,2,Married,No,Travel_Frequently,4327,0,0,2,3,2,No,0.4897,49.0,At Watch,Medium (30–60%)
936,42,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,6244,5,0,3,3,3,No,0.4873,48.7,At Watch,Medium (30–60%)
403,37,Male,Research & Development,Research Scientist,1,Married,Yes,Travel_Frequently,2326,4,1,4,2,2,No,0.4867,48.7,At Watch,Medium (30–60%)
1710,36,Female,Sales,Sales Representative,2,Single,No,Travel_Rarely,4502,13,6,4,2,3,No,0.4837,48.4,At Watch,Medium (30–60%)
1864,27,Female,Sales,Sales Representative,2,Married,No,Travel_Rarely,3540,9,5,3,3,2,No,0.4835,48.4,At Watch,Medium (30–60%)
1119,38,Male,Sales,Sales Executive,3,Divorced,Yes,Travel_Rarely,8740,8,2,3,3,3,No,0.4823,48.2,At Watch,Medium (30–60%)
1126,43,Female,Research & Development,Manufacturing Director,3,Married,No,Travel_Frequently,10820,8,0,1,3,3,No,0.4807,48.1,At Watch,Medium (30–60%)
470,42,Male,Human Resources,Human Resources,1,Divorced,Yes,Travel_Rarely,2696,3,1,3,3,3,No,0.4807,48.1,At Watch,Medium (30–60%)
518,37,Male,Research & Development,Manufacturing Director,2,Single,Yes,Travel_Rarely,4197,1,0,2,2,3,No,0.4806,48.1,At Watch,Medium (30–60%)
1945,35,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,5561,5,0,1,1,2,No,0.48,48.0,At Watch,Medium (30–60%)
1048,59,Male,Sales,Manager,3,Married,Yes,Travel_Rarely,11904,6,0,4,1,2,No,0.4799,48.0,At Watch,Medium (30–60%)
1070,54,Female,Sales,Sales Executive,3,Married,No,Travel_Rarely,10686,9,7,3,3,3,No,0.4789,47.9,At Watch,Medium (30–60%)
578,54,Female,Research & Development,Laboratory Technician,2,Single,No,Travel_Rarely,3780,1,0,3,3,3,No,0.4762,47.6,At Watch,Medium (30–60%)
864,45,Male,Sales,Sales Executive,3,Divorced,Yes,Travel_Rarely,10761,5,0,1,3,4,No,0.4759,47.6,At Watch,Medium (30–60%)
586,35,Male,Research & Development,Healthcare Representative,3,Married,Yes,Travel_Rarely,7632,8,0,3,3,4,No,0.4753,47.5,At Watch,Medium (30–60%)
837,38,Male,Research & Development,Healthcare Representative,2,Divorced,No,Travel_Frequently,6288,4,1,1,2,1,No,0.4749,47.5,At Watch,Medium (30–60%)
2068,34,Male,Research & Development,Laboratory Technician,2,Married,No,Travel_Rarely,4404,4,1,3,4,2,No,0.4737,47.4,At Watch,Medium (30–60%)
429,39,Male,Research & Development,Manager,4,Married,Yes,Travel_Rarely,17068,21,11,1,3,3,No,0.4729,47.3,At Watch,Medium (30–60%)
1731,47,Male,Sales,Sales Executive,2,Married,No,Non-Travel,4978,1,0,2,1,3,No,0.4712,47.1,At Watch,Medium (30–60%)
88,35,Male,Research & Development,Research Scientist,1,Married,No,Travel_Frequently,2194,3,1,1,2,2,No,0.471,47.1,At Watch,Medium (30–60%)
605,42,Male,Research & Development,Manufacturing Director,3,Married,Yes,Travel_Rarely,7406,10,5,1,2,4,No,0.4709,47.1,At Watch,Medium (30–60%)
1056,28,Male,Sales,Sales Representative,1,Married,No,Travel_Rarely,1052,1,0,2,3,4,No,0.4691,46.9,At Watch,Medium (30–60%)
530,31,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2218,4,3,1,3,4,No,0.4689,46.9,At Watch,Medium (30–60%)
240,45,Female,Sales,Sales Executive,2,Divorced,Yes,Travel_Rarely,5006,5,0,1,4,3,No,0.4671,46.7,At Watch,Medium (30–60%)
529,37,Female,Research & Development,Research Scientist,2,Married,Yes,Non-Travel,4449,13,10,3,3,2,No,0.4666,46.7,At Watch,Medium (30–60%)
74,35,Male,Sales,Sales Executive,3,Married,No,Travel_Frequently,9069,9,1,1,2,2,No,0.466,46.6,At Watch,Medium (30–60%)
1310,39,Male,Research & Development,Research Scientist,1,Single,No,Travel_Rarely,3904,5,0,1,3,3,Yes,0.4646,46.5,At Watch,Medium (30–60%)
1292,42,Female,Research & Development,Research Scientist,2,Married,Yes,Travel_Rarely,2372,1,0,2,3,2,No,0.4632,46.3,At Watch,Medium (30–60%)
1597,34,Male,Research & Development,Healthcare Representative,2,Married,No,Travel_Frequently,5063,8,7,3,2,4,No,0.4628,46.3,At Watch,Medium (30–60%)
1924,33,Male,Sales,Sales Executive,2,Single,No,Travel_Rarely,5487,10,0,3,2,2,No,0.4623,46.2,At Watch,Medium (30–60%)
455,29,Male,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,3983,3,2,4,3,2,No,0.4618,46.2,At Watch,Medium (30–60%)
85,36,Male,Research & Development,Manufacturing Director,2,Single,No,Travel_Frequently,6499,6,0,2,3,2,No,0.4604,46.0,At Watch,Medium (30–60%)
1150,29,Male,Research & Development,Manufacturing Director,2,Married,Yes,Travel_Rarely,5056,10,1,4,2,2,No,0.4592,45.9,At Watch,Medium (30–60%)
986,40,Female,Sales,Sales Executive,4,Single,Yes,Non-Travel,13194,1,0,2,2,2,Yes,0.4579,45.8,At Watch,Medium (30–60%)
1210,41,Male,Research & Development,Research Scientist,1,Divorced,No,Non-Travel,2107,1,0,1,1,1,Yes,0.456,45.6,At Watch,Medium (30–60%)
1583,38,Female,Sales,Sales Executive,2,Single,No,Travel_Rarely,4198,3,1,2,4,2,No,0.4543,45.4,At Watch,Medium (30–60%)
874,44,Male,Research & Development,Laboratory Technician,1,Married,Yes,Travel_Rarely,2818,3,0,4,2,1,No,0.4538,45.4,At Watch,Medium (30–60%)
889,32,Male,Sales,Sales Executive,2,Married,No,Travel_Frequently,6524,10,5,2,3,2,No,0.4536,45.4,At Watch,Medium (30–60%)
316,52,Female,Research & Development,Laboratory Technician,1,Single,No,Travel_Rarely,3212,2,2,4,2,3,No,0.4525,45.3,At Watch,Medium (30–60%)
184,30,Male,Human Resources,Human Resources,2,Married,Yes,Travel_Rarely,6347,11,4,4,1,3,No,0.4513,45.1,At Watch,Medium (30–60%)
1886,35,Female,Research & Development,Manufacturing Director,2,Married,Yes,Travel_Rarely,4788,3,0,2,3,4,No,0.4507,45.1,At Watch,Medium (30–60%)
1842,31,Male,Human Resources,Human Resources,1,Married,No,Travel_Rarely,2956,1,0,1,3,4,Yes,0.4505,45.0,At Watch,Medium (30–60%)
1746,24,Male,Human Resources,Human Resources,1,Married,No,Travel_Frequently,2145,2,2,4,3,1,No,0.4477,44.8,At Watch,Medium (30–60%)
1754,30,Male,Sales,Sales Executive,3,Divorced,No,Travel_Rarely,7140,7,1,1,3,3,No,0.4471,44.7,At Watch,Medium (30–60%)
1839,18,Female,Research & Development,Research Scientist,1,Single,No,Non-Travel,1514,0,0,3,1,2,No,0.4463,44.6,At Watch,Medium (30–60%)
1943,42,Male,Sales,Sales Executive,2,Divorced,Yes,Travel_Rarely,5087,0,0,4,3,2,No,0.4449,44.5,At Watch,Medium (30–60%)
2012,40,Male,Research & Development,Laboratory Technician,1,Married,No,Travel_Rarely,2406,1,0,4,2,1,No,0.4448,44.5,At Watch,Medium (30–60%)
1548,40,Male,Sales,Sales Executive,2,Married,No,Travel_Rarely,5473,8,7,1,4,1,No,0.4448,44.5,At Watch,Medium (30–60%)
1503,47,Female,Sales,Sales Executive,2,Married,Yes,Travel_Rarely,4591,5,1,3,2,3,No,0.444,44.4,At Watch,Medium (30–60%)
967,36,Male,Sales,Sales Executive,3,Married,Yes,Travel_Rarely,10325,16,3,4,3,3,Yes,0.4429,44.3,At Watch,Medium (30–60%)
1477,33,Male,Sales,Sales Executive,2,Married,No,Travel_Frequently,4373,4,0,1,3,4,No,0.4427,44.3,At Watch,Medium (30–60%)
1609,30,Male,Research & Development,Research Scientist,1,Married,No,Travel_Rarely,2141,6,1,2,2,2,No,0.4423,44.2,At Watch,Medium (30–60%)
1364,27,Female,Sales,Sales Representative,1,Married,No,Travel_Rarely,2534,1,0,4,3,3,No,0.4418,44.2,At Watch,Medium (30–60%)
